Geneid,orth_group,num,CaB41,CaB44,Ca30m1,Ca30m2,Ca1h1,Ca1h2,Ca1.5h1,Ca1.5h2,Ca2h1,Ca2h4,Ca3h1,Ca3h2,Ca4h1,Ca4h3,Ca6h1,Ca6h3,Ca8h1,Ca8h2
orf19.5531,5,4,1845,1915,2622,2802,3417,2691,3189,2243,3066,2470,2316,1991,1809,2024,2775,2761,2780,2769
YDR169C,6,1,1049,877,2150,2229,1427,1374,1402,1170,1814,1102,1806,1652,2188,1951,2085,2324,2274,2091
CAGL0E00891g,6,2,1455,1396,1737,1203,3358,3515,4539,3400,3817,3966,2690,3325,2971,3100,4039,4118,4122,5112
KLLA0D17270g,6,3,3019,3100,967,793,5498,5373,4241,4930,4505,3797,4872,4295,4220,4403,4086,6274,4615,4772
orf19.203,6,4,1315,1493,381,458,633,602,1301,952,1256,994,1370,1175,973,1059,957,934,1056,1032
YDR170C,7,1,5075,4246,4519,4391,4743,4163,5109,4879,5760,3957,4304,4093,4459,3921,3499,3795,3749,3216
CAGL0E00847g,7,2,5636,5222,5190,4935,6102,7709,7376,5700,6543,6700,9321,5026,5289,5063,5000,4673,4561,6461
KLLA0D17358g,7,3,6413,6730,4600,4205,10029,9940,8902,10018,9098,8205,7403,6423,6147,6306,5519,7216,4878,5395
orf19.5947,7,4,4480,5218,3791,3974,5154,4993,6252,4709,5426,4596,4514,3134,2419,2738,2098,2369,1801,1872
YDR172W,8,1,9195,8868,6915,7010,10602,9580,9990,9550,9992,7147,5531,5076,5169,5032,4566,5108,5364,4737
CAGL0E00781g,8,2,10184,8935,13395,12158,2316,2608,2484,1990,2881,2975,6466,3332,5471,4824,6498,5290,5153,8653
KLLA0D17424g,8,3,8167,8910,20045,18450,7906,7264,4409,5115,5771,5249,5462,4662,4859,4954,4134,5936,4672,4557
orf19.1378,8,4,5288,5566,16563,16412,12657,10869,8547,6763,7744,6316,8956,7095,5825,6261,5921,5843,5310,5767
YFL059W,9,1,44,37,90,95,140,132,120,121,115,114,164,168,250,219,353,348,425,392
YFL060C,10,1,23,19,22,20,34,28,31,27,52,32,55,42,61,69,102,85,130,100
YDR173C,11,1,320,276,619,662,628,552,571,509,584,443,725,577,760,684,1006,1079,1297,884
CAGL0E00759g,11,2,976,822,1159,1192,1838,2018,2947,2202,2521,2571,4362,2172,2794,2672,3612,2890,3219,4097
KLLA0D17402g,11,3,582,693,577,488,839,790,797,854,851,763,902,725,813,801,714,1094,855,929
orf19.1377,11,4,744,692,384,384,592,598,691,620,680,447,605,485,389,405,542,570,532,510
YOR192C,12,1,209,156,178,202,251,225,220,183,286,169,236,244,327,271,384,397,534,379
YDR174W,13,1,3474,3106,4780,5187,3987,3588,3011,2830,4496,3429,3701,3640,3135,2970,2008,2403,2419,2145
CAGL0E00737g,13,2,9562,8630,8830,7691,4946,5303,4035,3243,3453,3659,4691,2916,3665,3523,4367,3589,3304,5439
KLLA0D18029g,13,3,3947,4525,7679,6884,6055,5686,4591,5049,4376,3340,3871,3231,3425,3404,2493,3972,2389,2617
orf19.6645,13,4,12007,12195,3894,4059,7144,6502,13732,9887,16889,13043,8381,7825,6607,7622,5855,5951,4823,4136
YCL057W,14,1,3137,2867,6690,6926,5502,4953,3653,3143,5087,3658,5884,5723,5143,4431,3420,3806,3757,2917
CAGL0B00418g,14,2,6076,5214,4164,4441,5146,5998,4752,4036,4766,5113,7323,3950,4562,4152,4052,3331,3320,5214
KLLA0C00572g,14,3,4001,4843,2583,2469,5733,5523,4434,5256,4823,4455,4967,3949,4267,4363,3870,5373,4208,4611
orf19.434,14,4,4764,4946,1567,1606,2090,2043,3253,2773,3185,2655,2444,1935,1424,1481,1471,1540,1293,1517
YJL206C,15,1,272,242,551,474,488,433,402,353,459,382,536,524,749,641,879,844,1132,876
CAGL0F02519g,15,2,1153,969,809,846,1842,2152,2106,1708,1833,1931,2115,1349,1664,1630,1994,1640,1989,2921
KLLA0C03201g,15,3,2483,2991,2095,1958,3873,3905,3793,4338,4730,4179,4912,4118,4479,4785,4101,6083,4525,4902
YDR175C,16,1,763,687,1156,1288,1023,892,864,807,1096,829,1106,932,1055,902,891,1008,1102,914
CAGL0E00715g,16,2,1867,1627,2242,2124,5146,5314,4055,3356,3075,3012,2774,1610,1381,1473,1471,1200,1066,1393
KLLA0D18051g,16,3,1266,1541,3904,3585,1521,1466,737,854,929,770,999,895,1058,942,990,1527,1114,1249
orf19.3022,16,4,2104,2168,4533,4454,4477,3869,3535,2800,2597,2122,2340,1891,1514,1703,1597,1541,1356,1476
YDR176W,17,1,1616,1377,1925,1942,1892,1736,1872,1748,2238,1529,2166,1851,2248,2038,2037,2162,2127,1646
CAGL0E00693g,17,2,3978,3639,3714,3098,3800,4323,4314,3408,3727,4054,5192,3159,3354,3482,4136,3639,3748,4643
KLLA0D18073g,17,3,1314,1432,1484,1512,1788,1663,1600,1839,1696,1731,1720,1325,1479,1550,1282,1859,1481,1446
orf19.3023,17,4,1497,1663,1726,1813,1638,1438,1668,1196,1478,1383,1752,1386,1253,1274,1254,1314,1259,1241
YDR177W,18,1,1931,1725,2864,3036,2557,2212,2309,2124,2773,2277,2558,2259,2632,2422,2504,2837,3099,2712
CAGL0E00671g,18,2,4572,3906,3789,3332,4677,4998,4488,3649,3993,4422,4131,2971,2925,2827,3183,2711,2586,3979
KLLA0C18656g,18,3,1421,1626,1923,1779,2220,2084,1891,2207,2731,2165,2595,2246,2286,2392,1974,3036,2263,2323
orf19.1085,18,4,2804,3017,3260,3212,3098,2800,3780,3037,4006,3105,3058,2325,1922,2048,2048,1987,1776,1737
YOL083W,19,1,230,174,1269,1410,739,726,442,426,727,567,1858,1749,2343,2111,2711,2904,3306,2662
YGL257C,20,1,1538,1381,1346,1432,1846,1663,1861,1755,2059,1472,1510,1385,1801,1607,1280,1482,1420,1308
orf19.4900,20,2,813,872,523,544,745,696,791,668,980,808,1525,1354,1167,1305,1343,1519,1346,1392
YMR303C,21,1,371,309,1938,1972,949,920,472,544,405,321,353,342,430,430,460,496,592,511
YOL015W,22,1,151,141,153,197,159,148,177,137,170,136,198,190,287,266,373,431,473,409
YBL102W,23,1,1663,1655,3006,3073,2598,2329,2105,2013,2901,2332,2944,2738,3000,2638,2505,2795,2820,2200
CAGL0M09427g,23,2,2036,1800,1902,1788,2734,3028,3537,2951,3065,3459,2494,2538,2606,2514,3184,2573,2771,4268
KLLA0E06535g,23,3,856,1042,575,518,1560,1484,1223,1354,1346,1162,1272,1065,1187,1144,964,1565,972,992
orf19.2342,23,4,489,515,355,385,583,528,918,600,1010,824,772,798,582,647,696,747,693,628
YDR178W,24,1,1017,1009,3171,3505,1444,1297,1418,1189,2373,1858,3548,3280,4343,3978,4434,5162,5171,4147
YLR164W,24,2,140,114,488,504,295,292,253,209,408,293,1342,1190,2268,1623,3545,3350,5162,3294
CAGL0F05863g,24,3,7425,6458,6290,6074,13191,14108,14728,12669,14846,16477,14853,13096,15310,14986,18454,14075,14646,23035
KLLA0D18117g,24,4,5390,5542,2481,1914,5467,5989,5815,6892,5811,5143,5357,4392,4689,4641,3498,4885,3830,3508
orf19.4468,24,5,3051,3066,5103,5158,8130,7062,7337,6351,7506,5319,5956,5006,3852,4039,4410,3850,3907,3736
YOR020W-A,25,1,621,577,1578,1794,957,983,778,730,1261,1014,2446,2328,3374,2731,3702,3958,5359,4082
CAGL0E04548g,25,2,318,225,306,312,1668,1743,2636,2297,3885,4099,6029,3609,4396,4353,5353,3740,4400,7857
KLLA0E09329g,25,3,1133,1392,785,757,2787,2705,2588,2776,2455,1918,1923,1368,1615,1764,1472,2579,1962,1910
YDR011W,26,1,3559,2978,10589,8164,6894,4660,6601,4621,7004,5123,5300,5052,5933,4181,5195,4810,5275,3725
CAGL0I04862g,26,2,4625,4533,5268,4990,8515,10011,9194,7513,6760,7379,9566,5640,7158,6282,6645,5921,5931,8918
KLLA0D03432g,26,3,4630,4769,7181,6406,7275,7040,7339,8237,9809,9453,9935,8884,9975,9969,10078,14615,12440,13669
orf19.5759,26,4,1745,1873,6078,5535,3952,3245,2099,1543,2172,1967,6360,4427,4290,4255,4524,3782,3556,4266
YDR179C,27,1,155,169,101,115,223,189,338,332,271,229,211,214,390,340,414,426,434,455
CAGL0F05841g,27,2,623,551,191,224,382,464,628,490,781,842,1221,832,1118,1025,1436,1050,1327,2142
KLLA0D18139g,27,3,365,446,222,244,469,500,408,406,528,447,533,452,443,499,436,551,419,415
YKL222C,28,1,485,440,568,566,571,564,577,491,571,424,525,460,704,615,680,758,1040,815
YOR381W,29,1,346,325,316,320,325,270,270,265,306,244,392,344,502,436,582,661,801,632
orf19.1930,29,2,0,2,5,5,5,2,5,0,6,9,3,5,2,3,0,6,5,3
YDR179W-A,30,1,407,345,317,284,556,520,674,706,599,433,409,407,520,599,526,557,614,589
CAGL0F05819g,30,2,729,640,588,510,503,537,547,463,726,687,1052,665,844,801,978,749,792,1201
KLLA0D18161g,30,3,648,688,343,319,982,908,802,967,1136,990,1247,1047,1114,1278,1040,1559,1164,1092
orf19.3009,30,4,440,444,222,252,321,296,469,394,426,297,531,405,373,404,427,403,444,435
YIR013C,31,1,10,16,13,11,18,15,23,22,14,12,15,6,18,11,8,16,8,9
YLR013W,32,1,4,4,4,3,3,1,1,2,1,2,2,1,3,1,5,2,3,5
YDR034W-B,33,1,25,28,1599,1641,1083,1157,510,439,443,327,1769,1453,1968,1324,2220,1887,4057,1648
YBR056W-A,33,2,102,80,90,104,113,93,113,129,113,100,114,109,154,183,163,207,189,221
KLLA0F18766g,33,3,445,463,885,776,708,622,467,547,625,493,569,512,561,544,427,814,467,483
YDR180W,34,1,874,795,514,520,1052,825,840,778,883,579,499,438,501,511,362,427,425,456
CAGL0F05797g,34,2,785,646,1256,1285,947,1151,888,769,1053,1130,2079,1196,1748,1628,2079,1868,1980,2732
KLLA0D18194g,34,3,1529,1543,1500,1272,2769,2641,1948,2177,2140,2057,2198,1787,2058,2159,2309,3348,2998,3192
orf19.3080,34,4,1221,1306,1602,1582,1425,1282,2425,1990,2119,1911,1964,1865,1625,2055,1655,1598,1656,1793
YDR181C,35,1,652,601,946,963,889,743,862,801,938,756,861,901,1057,913,947,1034,1187,959
CAGL0F05775g,35,2,1252,1022,1275,1159,1098,1352,1739,1377,2067,2228,3166,1844,2543,2169,2647,2045,2297,3840
KLLA0D18216g,35,3,686,827,1144,1024,628,582,487,524,655,538,617,529,597,530,457,636,441,476
orf19.3084,35,4,867,876,649,701,618,564,1057,845,1034,1004,894,1013,753,1030,806,893,894,708
YIL166C,36,1,230,226,537,494,471,380,347,346,512,424,591,549,695,537,613,546,794,575
orf19.6520,36,2,2,0,2,0,1,5,2,1,9,5,2,6,6,2,4,10,19,4
YDR182W,37,1,1821,1683,2610,2830,2073,1840,2084,1893,2269,1724,2299,2232,2290,2122,1792,1930,1982,1672
CAGL0F05753g,37,2,1920,1604,2407,2101,1159,1205,1129,849,973,1188,1714,1153,1512,1569,1799,1383,1336,2075
KLLA0D18238g,37,3,1340,1581,1615,1399,1735,1641,1671,1794,1993,1637,1781,1625,1637,1581,1362,2117,1383,1472
orf19.3083,37,4,1511,1680,1242,1209,1187,973,1916,1420,1902,1600,1104,1129,704,886,622,578,593,518
YDR183W,38,1,300,271,411,439,505,454,420,409,502,421,457,420,490,513,448,504,603,518
CAGL0F05731g,38,2,578,488,617,663,228,257,164,144,219,222,764,290,551,502,666,488,438,853
KLLA0D18282g,38,3,281,316,420,346,376,339,231,319,309,244,279,242,206,227,145,259,146,183
YCR105W,39,1,87,71,203,167,176,148,118,107,161,98,164,186,194,180,215,203,282,239
orf19.5517,39,2,747,805,6961,6642,3399,2906,2996,2395,2728,2070,4826,4069,4122,4462,4718,5191,4497,4770
YER066W,40,1,148,143,355,332,197,204,177,194,284,188,291,282,303,252,324,348,456,320
YOL152W,41,1,190,149,126,77,197,154,173,158,164,121,192,159,295,259,268,273,383,374
orf19.7077,41,2,93,109,72,108,133,127,533,545,1871,1749,3393,2874,3128,4270,3096,4518,2607,2082
YBR294W,42,1,452,356,485,538,528,515,547,396,570,365,599,609,771,728,793,947,1157,1020
orf19.2738,42,2,176,197,50,47,43,50,78,38,94,82,65,81,71,80,55,84,98,84
YDR184C,43,1,657,583,151,145,862,730,817,750,469,439,117,71,140,136,161,205,558,522
CAGL0F05709g,43,2,335,250,985,857,21,26,38,40,56,80,203,104,245,212,284,190,248,368
KLLA0D18326g,43,3,482,539,2475,2362,116,85,82,114,253,238,320,283,344,344,334,447,371,378
orf19.3088,43,4,59,52,973,1021,376,327,104,77,93,66,490,454,563,613,709,723,746,671
YOR012W,44,1,216,199,315,346,266,247,291,260,290,224,293,253,296,215,228,224,292,231
KLLA0C16511g,44,2,156,166,28,30,393,369,255,293,352,266,359,375,383,443,410,577,421,533
YBR295W,45,1,536,431,392,380,589,553,549,485,676,432,689,683,1050,1036,1124,1344,1516,1196
YFL050C,46,1,507,452,609,576,624,617,525,487,675,426,647,645,661,576,671,729,745,620
YGL258W,47,1,54,52,28,31,49,54,40,33,48,31,36,34,44,37,46,52,86,63
YER187W,48,1,86,89,105,83,52,66,56,41,61,40,62,61,54,52,64,73,108,94
YDR185C,49,1,310,240,289,366,258,214,290,238,272,222,187,161,147,148,172,181,216,188
YLR168C,49,2,845,826,988,1026,785,657,868,777,1084,864,835,786,918,862,957,1065,1234,898
CAGL0G08195g,49,3,582,536,1919,1624,1928,2061,2485,1935,2452,2563,3151,2284,1995,2321,2444,2176,1846,1734
KLLA0D18348g,49,4,816,943,2604,2566,154,179,121,158,290,262,399,406,472,491,544,773,697,682
YPL036W,50,1,304,317,276,281,476,486,423,414,437,289,903,742,5734,3761,20219,19303,31792,21950
YDR314C,51,1,221,174,236,327,219,209,232,179,288,223,450,375,512,431,494,553,607,356
CAGL0H07293g,51,2,991,887,790,766,718,811,1034,912,1244,1229,2100,1286,1889,1742,2100,1622,1802,3040
orf19.1310,51,3,311,289,308,316,255,219,226,165,142,133,146,84,115,106,99,76,104,115
YAL005C,52,1,4347,3793,71701,72435,50165,48112,24656,19927,45582,39782,92946,87029,118226,101333,102263,114898,88545,74922
YDR186C,53,1,1966,1673,2606,2627,3036,2957,2618,2754,3180,2109,3287,2853,4014,3563,4237,4833,5281,5301
CAGL0F05687g,53,2,5421,4880,1123,962,1034,1191,1764,1471,2059,2158,3144,2211,3114,2835,4165,3429,4280,6369
KLLA0D18392g,53,3,1700,1939,1293,1270,1308,1368,1169,1330,1391,1287,1753,1408,1810,1799,2115,3042,2765,2795
YMR018W,54,1,86,74,140,148,105,121,114,122,139,87,95,121,134,118,125,109,162,119
YMR017W,55,1,30,19,47,61,32,24,39,20,31,21,42,32,37,29,31,37,89,49
YCR106W,56,1,220,221,123,141,327,239,275,214,324,265,204,223,322,255,328,374,405,329
YPL258C,57,1,427,386,306,358,519,442,479,433,455,279,355,359,524,455,577,657,933,701
YGL157W,58,1,2245,1986,7488,7797,4543,4075,3260,2819,3783,3380,4562,4210,4016,3460,2836,2856,3334,2750
CAGL0E05170g,58,2,5249,4609,1692,1647,12144,13775,13678,11258,12175,13568,12719,7255,6185,6144,5169,3838,3986,5954
YBL101C,59,1,909,711,2382,2474,1468,1411,1072,1035,1641,998,2048,1978,2406,2133,2915,3187,3936,3107
YPR030W,59,2,215,176,665,624,298,257,312,235,440,289,808,850,1124,949,1657,1510,2056,1286
CAGL0M09449g,59,3,2564,2327,3167,2612,5510,6550,8049,6676,7514,8352,8331,6579,7609,7056,9002,7831,8959,13731
CAGL0K05247g,59,4,103,95,111,116,967,1139,1714,1283,1888,2012,2219,1639,1599,1481,1417,1315,1415,1894
KLLA0E06557g,59,5,1221,1310,781,770,1754,1803,1511,1677,1805,1722,1753,1438,1656,1736,1784,2375,2085,2176
orf19.4887,59,6,1012,991,255,247,408,386,607,472,626,497,616,517,410,484,461,470,463,418
YDR188W,60,1,7408,6750,7535,7786,8762,8205,7099,6630,7779,5687,6363,5891,6015,5689,4927,5303,5387,4643
CAGL0G08272g,60,2,6432,5408,6633,7424,2683,3239,2350,1915,2243,2321,5011,2253,3138,2807,3268,2532,2469,4283
KLLA0D18458g,60,3,4172,5163,7950,7848,7810,7801,4194,4838,4329,3729,3990,3432,3294,3418,2878,3749,2737,2847
orf19.3126,60,4,3124,3250,9262,8865,7357,6333,5619,4495,4336,3394,3736,2858,2602,2586,2543,2747,2436,2310
YMR316W,61,1,209,189,262,286,217,273,192,238,263,210,236,224,236,302,337,396,455,409
YOR385W,62,1,353,323,422,412,391,374,415,337,527,380,425,405,487,403,439,485,557,531
YPL264C,63,1,181,215,574,641,349,314,328,314,366,307,528,522,564,449,466,503,581,451
orf19.2204,63,2,2879,3065,662,652,583,594,1016,805,1478,1196,2417,2155,2202,2315,2585,2980,2660,2546
YEL071W,64,1,7700,7169,10460,7994,11024,6746,6420,4397,8313,6146,5964,5856,4649,4998,2338,2860,2325,2857
YIL013C,65,1,582,444,617,657,747,701,693,627,747,565,781,766,1008,909,1182,1175,1547,1310
YIR028W,66,1,84,78,147,132,144,167,154,119,211,135,242,214,314,286,410,425,584,442
orf19.313,66,2,248,279,244,272,266,222,350,266,360,323,454,368,414,480,468,455,514,488
YDR189W,67,1,2250,2107,2435,2428,2710,2474,2722,2538,3192,2217,2436,2362,2501,2354,1925,2056,1896,1655
CAGL0F05665g,67,2,8084,7397,4027,4017,5281,6331,5736,4712,5442,5776,7331,3916,4537,4467,4324,3559,3557,5890
KLLA0D18480g,67,3,2316,2492,1914,1701,4289,4173,3424,3914,3863,3325,3737,3237,3185,3357,2860,3897,2776,2985
orf19.3128,67,4,2956,3187,2962,3085,3546,3110,5081,3875,5241,4035,4082,3264,2372,2483,2361,2013,2108,2042
YIR031C,68,1,450,395,781,604,699,625,622,604,706,609,841,838,1008,916,1032,1100,1665,1395
YHR209W,69,1,225,251,832,908,581,529,446,374,603,482,1062,1011,1058,931,954,1092,1454,947
YCL049C,70,1,542,446,1026,1065,758,731,597,461,605,481,947,785,928,762,901,926,1395,840
YDR190C,71,1,4386,4106,2977,3024,5412,4999,4884,4163,5463,4059,2976,2753,3244,3184,2777,3397,3534,3112
CAGL0F05643g,71,2,3482,3038,4000,4069,2438,2766,2400,2060,2154,2200,4087,1851,2556,2240,2465,1954,1779,3013
KLLA0D18502g,71,3,3319,3689,6887,6336,4027,3970,2703,3157,3714,3115,3386,2949,2863,3029,2372,3735,2499,2535
orf19.3129,71,4,2489,2579,4728,4789,3795,3274,3349,2662,3137,2604,3894,2945,2577,2708,2858,2763,2493,2486
YDR191W,72,1,333,232,389,364,467,427,289,240,523,492,452,417,531,427,526,564,595,561
CAGL0F05621g,72,2,356,320,476,545,300,403,361,319,324,333,732,371,588,585,659,473,442,785
KLLA0D18535g,72,3,680,771,1086,988,1081,1010,657,745,987,856,1024,857,1006,1014,798,1257,706,812
YKL023W,74,1,690,603,1625,1805,1183,1121,894,847,1346,1076,1810,1717,1893,1716,2193,2403,2416,1494
CAGL0L09845g,74,2,1743,1563,1829,2037,769,878,675,573,687,705,1508,888,1180,1121,1720,1372,1468,2434
KLLA0E08031g,74,3,748,949,980,905,1442,1433,1138,1169,1259,1146,1275,1080,1212,1183,1091,1688,1322,1293
YDR194C,75,1,2899,2913,3425,3428,3877,3174,3066,2514,3059,2306,2077,2156,2026,1965,1695,1941,2471,1936
CAGL0F05577g,75,2,1899,1623,1426,1399,1981,2193,1207,1108,877,1015,1037,645,808,827,952,719,778,1140
KLLA0D18667g,75,3,2512,2824,4769,4761,598,491,457,561,903,738,1101,957,1104,1179,1159,1611,1541,1846
orf19.4739,75,4,620,601,5178,4899,3111,2521,1250,970,986,774,2365,1799,1656,1687,1555,1515,1460,1488
YDR195W,76,1,800,727,792,810,1037,890,973,809,911,733,753,750,898,791,905,1005,1271,1078
CAGL0G08382g,76,2,1537,1205,1333,1445,748,927,735,624,721,801,989,632,820,796,940,742,776,1242
KLLA0D18689g,76,3,1054,1209,1725,1524,1290,1254,676,788,745,622,810,692,846,866,781,1119,831,921
YDR196C,77,1,853,850,1869,1953,1359,1179,1164,1080,1667,1315,1862,1748,1837,1535,1825,1891,2349,1666
CAGL0F05555g,77,2,458,358,537,568,348,403,423,377,543,521,962,659,929,885,1171,845,891,1453
KLLA0D18711g,77,3,550,689,492,474,1009,1040,765,878,935,727,874,712,838,770,718,1074,734,796
orf19.4005,77,4,1552,1423,479,529,564,511,690,574,802,604,777,697,598,686,695,674,686,553
YDR197W,78,1,476,413,857,946,671,665,647,588,736,571,713,660,703,639,706,774,900,687
CAGL0F05533g,78,2,520,433,623,603,738,738,564,450,448,489,916,343,605,470,587,434,417,733
KLLA0D18733g,78,3,535,554,1252,1027,641,618,371,393,445,373,441,430,419,474,476,717,526,620
YDR198C,79,1,505,458,344,300,692,649,581,555,521,380,331,316,460,456,487,664,729,754
CAGL0F05511g,79,2,933,740,1167,1176,890,983,1097,930,1024,1108,1371,1021,1357,1308,1547,1207,1421,2183
KLLA0D18755g,79,3,363,439,1275,1151,332,334,283,375,676,594,804,716,720,755,618,974,762,807
orf19.4007,79,4,271,227,369,389,384,327,347,276,338,257,315,313,257,262,306,315,323,329
YBL099W,80,1,11201,9915,18090,20372,12166,10919,12681,11945,15720,11772,18399,17778,23100,21148,20507,23423,21085,17096
CAGL0M09581g,80,2,9907,9417,12031,10317,34031,38768,52099,41381,50453,52014,61550,33437,31339,30974,27981,24697,20655,31300
KLLA0E06667g,80,3,25176,31031,36187,34842,57884,55425,46759,50991,38420,35203,25320,21407,21899,22342,19591,28461,18728,20227
orf19.6854,80,4,30816,32321,53716,53893,79121,70075,85124,67217,88534,65696,64277,53431,42043,42214,45320,44995,39889,41481
YDR200C,81,1,1068,1014,1707,1764,1267,1200,1457,1324,1663,1189,1468,1510,1560,1425,1469,1573,1767,1376
YLR238W,81,2,539,552,1018,1020,788,709,838,665,941,654,923,893,941,848,846,912,1054,778
CAGL0F05489g,81,3,364,349,241,214,688,699,840,665,808,827,1045,697,891,831,840,743,801,1183
CAGL0G08426g,81,4,818,674,599,660,915,997,982,848,1090,1142,2129,1022,1519,1306,1675,1208,1683,2588
KLLA0D18799g,81,5,903,1009,1193,1218,1670,1511,1088,1351,1442,1260,1444,1149,1263,1275,1155,1773,1203,1355
orf19.4471,81,6,860,793,677,672,763,736,777,552,603,500,735,547,415,464,466,401,456,537
YDR201W,82,1,373,345,460,567,435,426,523,496,653,495,502,498,566,524,405,457,464,369
CAGL0F05467g,82,2,463,466,423,379,316,331,240,184,269,257,603,313,450,404,569,396,308,590
KLLA0D18821g,82,3,319,357,435,390,515,448,434,528,588,475,569,438,470,531,392,590,377,351
orf19.4473,82,4,242,195,250,275,317,232,284,222,375,249,321,246,237,276,282,275,250,241
YDR202C,83,1,711,598,1487,1535,1044,975,981,879,1290,1033,1459,1365,1404,1274,1427,1485,1689,1268
CAGL0F05445g,83,2,1285,971,962,1000,1084,1362,1286,1262,1511,1545,2275,1378,1954,1760,2197,1586,1819,3032
KLLA0D18843g,83,3,808,954,542,492,1257,1159,970,1054,1220,994,1270,1053,1243,1161,974,1579,1129,1084
orf19.5559,83,4,582,571,396,453,713,622,881,665,946,705,903,737,679,728,753,798,768,705
YDR204W,84,1,790,720,2840,2967,1560,1490,1361,1133,1911,1567,2935,2747,3116,2678,2954,3126,3584,2322
CAGL0F05423g,84,2,2245,1828,1449,1668,3320,3933,3795,3093,3549,3601,4631,2515,2856,2668,2725,2300,2287,3817
KLLA0D18865g,84,3,1305,1601,483,405,1576,1537,1452,1619,1857,1584,2014,1562,1754,1765,1454,1999,1543,1693
orf19.3008,84,4,1193,1280,556,594,817,717,719,633,620,468,510,403,395,391,427,432,388,360
YAR027W,85,1,1023,978,2755,2809,1589,1515,1323,1172,1871,1531,2321,2063,2171,2028,2172,2293,2512,1733
YDR205W,86,1,775,642,894,836,1023,862,926,835,987,793,798,723,911,854,890,929,1081,965
CAGL0F05401g,86,2,1279,1085,1558,1339,1467,1746,2132,1809,2145,2276,2601,1934,2256,2106,2636,2121,2406,3663
KLLA0F20746g,86,3,990,1048,808,751,1848,1779,1263,1489,1236,1100,1286,1043,1212,1128,978,1320,1094,1119
orf19.3132,86,4,1066,1116,1106,1119,1256,1108,1563,1182,1651,1212,1637,1371,1226,1293,1178,1235,1140,1077
YDR206W,87,1,2473,2199,1438,1413,2645,2439,2461,2256,2323,1592,1707,1600,2176,2009,2133,2289,2636,2282
YLR233C,87,2,425,350,365,355,503,458,503,473,557,414,436,428,541,544,481,579,699,648
CAGL0F05379g,87,3,2827,2465,3004,2646,2363,2717,3382,2879,2965,3535,3834,2585,3344,3150,3826,3095,3748,5718
CAGL0G08492g,87,4,383,298,327,333,159,212,254,242,361,405,590,458,658,632,763,631,598,906
KLLA0F20702g,87,5,1426,1403,6033,4995,2770,2565,1056,1147,728,623,866,694,891,1021,1113,1783,1492,1510
orf19.4045,87,6,2488,2673,4661,4778,2993,2607,3036,2275,2691,2501,3200,3286,2743,3399,2997,3778,2961,2707
YDR207C,88,1,1418,1341,1605,1603,1467,1446,1648,1492,1597,1044,1066,1018,1003,990,999,1113,1442,1078
CAGL0F05357g,88,2,4712,4209,4158,3778,5301,5850,4319,3539,3331,3575,3264,2539,2752,2691,3118,2586,2530,3679
KLLA0F20680g,88,3,1775,1900,866,823,7136,7112,5105,5820,3921,3437,3768,3209,3516,3469,3377,4923,3796,4036
orf19.2745,88,4,93,65,59,60,60,35,81,106,166,164,143,145,110,116,100,107,173,134
